data_size,step,duration_mean_Polars,duration_mean_Pandas,duration_std_Polars,duration_std_Pandas,memory_mean_Polars,memory_mean_Pandas,memory_std_Polars,memory_std_Pandas,speed_difference,speedup
50,Historical_Count,13551.2,34835.6,4806.7,723.8,227.7,233.4,12.0,5.2,21284.4,2.6
50,Historical_Max,12118.4,27485.2,3595.6,673.7,227.7,233.4,12.0,5.2,15366.8,2.3
50,Historical_Mean,23535.4,59760.4,31728.9,55732.9,227.7,233.4,12.0,5.2,36225.0,2.5
50,Historical_Min,16364.2,28650.0,15182.6,1325.8,227.7,233.4,12.0,5.2,12285.8,1.8
50,KBinsDiscretizer,21709.2,21586.2,25736.9,5169.6,227.4,233.4,12.6,5.2,-123.0,1.0
50,MaxAbsScaler,13623.2,15479.6,663.4,406.4,227.7,233.4,12.0,5.2,1856.4,1.1
50,MinMaxScaler,14515.4,15714.0,2903.7,438.6,227.7,233.4,12.0,5.2,1198.6,1.1
50,MissingIndicator,10687.4,17978.6,4834.5,1639.3,231.6,234.0,7.5,4.0,7291.2,1.7
50,PowerTransformer,166406.4,151703.2,33366.4,1495.6,227.7,233.4,12.0,5.2,-14703.2,0.9
50,QuantileTransformer,41421.8,78639.4,10896.7,1079.6,227.7,233.4,12.0,5.2,37217.6,1.9
50,RobustScaler,31497.8,23267.2,12746.7,587.2,227.7,233.4,12.0,5.2,-8230.6,0.7
50,SplineTransformer,506966.6,1368768.6,102197.5,18423.9,231.3,234.0,8.2,4.0,861802.0,2.7
50,StandardScaler,18582.4,16591.2,7731.6,472.5,227.7,233.4,12.0,5.2,-1991.2,0.9
50,StepImputeFill,7043.6,10849.0,3237.9,468.8,231.3,234.0,8.2,4.0,3805.4,1.5
100,Historical_Count,12786.4,35684.4,2398.8,426.3,247.3,247.8,2.8,2.1,22898.0,2.8
100,Historical_Max,12219.0,27543.8,2442.1,683.8,247.3,247.8,2.8,2.1,15324.8,2.3
100,Historical_Mean,10600.0,38117.4,870.1,5575.5,247.3,247.8,2.8,2.1,27517.4,3.6
100,Historical_Min,11431.4,27839.6,3118.2,647.8,247.3,247.8,2.8,2.1,16408.2,2.4
100,KBinsDiscretizer,12471.4,19065.6,4855.8,3326.7,247.3,248.0,2.8,3.0,6594.2,1.5
100,MaxAbsScaler,13872.2,15006.4,1424.6,194.1,247.3,247.8,2.8,2.1,1134.2,1.1
100,MinMaxScaler,15053.8,15171.4,2120.3,181.6,247.3,247.8,2.8,2.1,117.6,1.0
100,MissingIndicator,8833.2,17441.8,226.2,154.8,248.7,248.7,2.9,1.6,8608.6,2.0
100,PowerTransformer,162421.8,150510.2,28846.0,1525.2,247.3,247.8,2.8,2.1,-11911.6,0.9
